Pedigree,Person1,Person2,Kinship,Delta7,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
1,16,16,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,16,17008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,16,3226,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,16,8228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,16,9218,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,17008,17008,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,17008,3226,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,17008,9218,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3226,3226,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,8228,17008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,8228,3226,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,8228,8228,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,8228,9218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,9218,3226,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,9218,9218,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,14695,14695,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,14695,17893,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,14695,6952,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,17893,17893,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,17893,6952,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2294,14695,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2294,17893,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2294,2294,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2294,3416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2294,3916,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2294,6790,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2294,6952,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,29,14695,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,29,17893,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,29,2294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,29,29,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,29,3416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,29,3916,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,29,6790,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,29,6952,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3416,14695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3416,17893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3416,3416,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3416,3916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3416,6790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3416,6952,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,3916,14695,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,3916,17893,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3916,3916,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3916,6790,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,3916,6952,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,6790,14695,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,6790,17893,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,6790,6790,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,6790,6952,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,6952,6952,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,16693,16693,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,16693,16795,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,16693,17445,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,16693,2039,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,16693,21688,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,16693,25532,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,16693,26294,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,16693,2831,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,16795,16795,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,17445,16795,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,17445,17445,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,17445,2039,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,17445,21688,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,17445,25532,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,17445,26294,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2039,16795,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2039,2039,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2039,21688,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2039,25532,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2039,26294,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,21688,16795,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,21688,21688,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,21688,25532,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,21688,26294,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,25532,16795,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,25532,25532,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,26294,16795,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,26294,25532,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,26294,26294,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2831,16795,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2831,17445,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2831,2039,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2831,21688,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2831,25532,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2831,26294,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2831,2831,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,39,16693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,16795,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,39,17445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,21688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,25532,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,39,26294,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,39,2831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,39,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,39,4521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,39,8366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4521,16693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4521,16795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
