Pedigree1,Pedigree2,Person1,Person2,theoretical_kinship,empiric_kinship,fishers_zscore
14,14,26732,264,0.0,0.10955177290095937,5.319415124407315
31,31,15884,19770,0.25,0.15036393933482875,-4.235498826942648
23,23,9943,392,0.125,0.02251325814013174,-4.2015535825455155
25,14,22041,16636,0.0,0.09697145162111136,4.751369546398304
25,25,11822,24192,0.25,0.15922926641123167,-3.8297465996317066
14,14,25732,264,0.125,0.21662170527013563,4.625145827767765
25,25,3012,3016,0.125,0.213888229421578,4.497104762114047
25,17,23404,12004,0.0,-0.08964368333717095,-3.6094260556838575
25,23,23404,19279,0.0,-0.08779674019625365,-3.5262658966610787
17,14,26857,264,0.0,0.08599533238366008,4.256907411509726
10040,8,234,5226,0.0,-0.08597090497694686,-3.4440828524769893
23,19,743,8344,0.0,-0.08565428615278961,-3.429834117542886
19,19,22375,720,0.125,0.040507761313068706,-3.3968929600328406
25,23,23404,743,0.0,-0.08319521328516832,-3.319195219883583
10040,8,234,13234,0.0,-0.08058838496627363,-3.2019582271889693
23,8,3121,19099,0.0,-0.0792374779832027,-3.1412234382245585
10040,8,234,7395,0.0,-0.07915304629676077,-3.1374279506889766
10040,8,234,19099,0.0,-0.07892085915904545,-3.1269906230256868
17,17,908,10418,0.25,0.17459583334366346,-3.123612102909875
31,23,19770,3760,0.0,-0.07838260715797815,-3.102796478222149
31,31,152,19770,0.125,0.04727285018922859,-3.094102440380294
14,14,25732,25732,0.5,0.5562798258652266,3.8957521564007194
10040,11,234,7670,0.0,-0.07725333335181728,-3.0520428717994545
25,17,24192,12004,0.0,-0.07693671452766002,-3.037814493324625
25,17,23404,19113,0.0,-0.07691560660604956,-3.0368659595852447
23,19,743,23699,0.0,-0.0768522828412181,-3.034020376953223
17,8,12004,5226,0.0,-0.07675729719397092,-3.029752055237046
23,19,3760,8344,0.0,-0.07638790856578746,-3.013153620774669
10029,17,434,12004,0.0,-0.07607128974163022,-2.9989271413117464
10040,25,234,3012,0.0,-0.07607128974163022,-2.9989271413117464
25,17,1269,12004,0.0,-0.07576522487827822,-2.985175533059762
31,17,26817,26857,0.0,0.07564189683371805,3.791359764360148
17,3,12004,17445,0.0,-0.07559636150539435,-2.9775887135979024
17,17,26857,26857,0.5,0.5543590049986726,3.77168714448494
23,23,25271,9943,0.0625,-0.012631431341322842,-2.9540384404996085
25,25,24192,398,0.125,0.0506501176469059,-2.9428724564815694
24,17,15061,12004,0.0,-0.0747731525625855,-2.940605750217961
24,17,19621,12004,0.0,-0.07463595107211736,-2.9344423694835418
17,17,11361,309,0.125,0.0509561825102579,-2.9291647276496535
29,23,5986,19279,0.0,-0.0742665624439339,-2.917849282366585
28,14,21962,264,0.0,0.07419600420339995,3.72640510663189
23,3,743,21688,0.0,-0.0736333247956194,-2.889406117359065
22,17,2381,26857,0.0,0.07345722694703302,3.6932220217986815
23,23,19279,9943,0.125,0.05210656423802924,-2.8776387193264035
23,17,3760,22601,0.0,-0.07328504408904643,-2.8737635148252227
23,23,19279,18496,0.125,0.05304586674969574,-2.835562436946698
23,5,743,21999,0.0,-0.07234574157737993,-2.8315798810629396
25,25,1269,11822,0.25,0.18103374943486086,-2.8266301352131817
23,5,19279,21999,0.0,-0.07194469106678074,-2.813570651386662
28,17,9782,26857,0.0,0.07177914717899961,3.6178624095161735
23,17,19279,12004,0.0,-0.07174416581148116,-2.804566428657798
23,8,25256,19099,0.0,-0.07163862620342874,-2.7998274687097937
28,14,9782,25732,0.0,0.07156806796289479,3.6083845138888613
17,5,19113,21999,0.0,-0.07141699302651866,-2.7898758871439373
19,1,10272,9218,0.0,-0.07106871231994569,-2.774238326906172
23,17,743,12004,0.0,-0.07106871231994569,-2.774238326906172
31,31,10372,10372,0.5,0.4447561220362384,-2.7730424689263784
10040,11,234,182,0.0,-0.07101594251591949,-2.7718690675654396
10008,31,92,19770,0.0,-0.07097372667269852,-2.769973672943724
10040,25,234,22711,0.0,-0.07093151082947755,-2.768078289737499
31,31,14705,6885,0.125,0.05467117671370295,-2.7627463089466144
17,5,12004,70,0.0,-0.07063599992693079,-2.7548109263458045
19,17,3593,19235,0.0,-0.07062544596612554,-2.7543371022481518
23,17,25271,18645,0.0,-0.07054101427968361,-2.7505465350141236
23,17,3760,12004,0.0,-0.07010830188666871,-2.731120588965928
23,5,3121,70,0.0,-0.07009774792586347,-2.7306468002305717
25,17,24192,19113,0.0,-0.07001331623942153,-2.7268565157001765
17,8,12004,13234,0.0,-0.06984445286653765,-2.7192760816794506
23,8,25271,7395,0.0,-0.06974946721929048,-2.7150121665339984
23,23,19279,3121,0.25,0.18351393022409265,-2.712029424749427
28,14,21962,4078,0.0,0.06940450599782026,3.5112525247372743
25,23,11822,19279,0.0,-0.06928509294385986,-2.6941671749563816
10040,1,234,3226,0.0,-0.06915844541419694,-2.68848241155113
23,5,3760,21999,0.0,-0.06905290580614454,-2.683745185156454
31,23,19770,17654,0.0,-0.06905290580614454,-2.683745185156454
23,23,19279,25566,0.0,-0.0690423518453393,-2.683271466334581
23,17,25271,12004,0.0,-0.06900013600211834,-2.6813765979827657
17,5,19113,24010,0.0,-0.06892625827648166,-2.678060605052804
25,10,23404,480,0.0,-0.0688629345116502,-2.6752183524069517
31,23,19770,26274,0.0,-0.06849354588346673,-2.658639040951089
23,3,743,26294,0.0,-0.06831412854977763,-2.6505865369375874
17,17,16612,26857,0.0,0.06830689407407514,3.4619870723841135
23,5,25256,21999,0.0,-0.0680291716080361,-2.6377976732589556
23,17,743,22601,0.0,-0.06798695576481513,-2.63590306920432
25,23,1269,19279,0.0,-0.06791307803917844,-2.6325875383951858
19,19,3593,22375,0.125,0.05760517781756012,-2.6312658812811653
22,19,384,3593,0.0,-0.06783920031354175,-2.6292720410098256
23,17,7079,26857,0.0,0.06780030395542352,3.4392516817201804
10040,25,234,398,0.0,-0.06764922901904741,-2.6207466295220176
17,17,12004,22601,0.0,-0.06741704188133209,-2.610326981029037
17,8,12004,19099,0.0,-0.06732205623408491,-2.606064492067565
10040,31,234,24094,0.0,-0.06725873246925347,-2.6032228631880607
31,23,10372,3760,0.0,-0.0671426389003958,-2.5980132733777768
25,14,22041,4078,0.0,0.06712485046388805,3.408940266014598
29,14,14219,264,0.0,0.06711429650308282,3.408466672124694
17,11,12004,7670,0.0,-0.06698432948831719,-2.590909418721318
10006,14,66,264,0.0,0.06696654105180945,3.4018364283815656
23,19,17654,8344,0.0,-0.0669632215667067,-2.589962249542947
23,17,25256,12004,0.0,-0.06695266760590146,-2.5894886659624228
17,8,12004,7395,0.0,-0.06693155968429097,-2.5885415008181547
19,19,10272,720,0.125,0.058576142211642354,-2.5877446638601787
31,1,24094,9218,0.0,-0.06680491215462808,-2.5828585663771255
10040,31,234,19770,0.0,-0.0667626963114071,-2.5809642763711453
23,17,743,26856,0.0,-0.0666043868993285,-2.573860784317913
