Gene name,Gene end (bp),Gene start (bp),Chromosome/scaffold name
WASH5P,71626,60951,19
AC008993.1,69178,68403,19
AC008993.2,69972,69167,19
AC008993.3,72718,71778,19
MIR1302-11,72110,71973,19
FAM138F,77686,76163,19
OR4G3P,94974,94062,19
OR4G1P,106077,99175,19
OR4F17,117102,107104,19
WBP1LP11,145812,145485,19
OR4F8P,157215,156279,19
AC092192.1,177913,176896,19
SEPT14P19,195696,186373,19
CICP19,195595,193239,19
AC092299.1,198066,197310,19
AC010507.1,200775,197961,19
LINC01002,239440,198264,19
AC010507.2,201174,200499,19
RNU6-1076P,223261,223158,19
AC016588.2,251571,248551,19
PLPP2,291504,281040,19
MIER2,344815,301444,19
AC016588.1,306467,305573,19
THEG,376670,361747,19
AC010641.1,399173,397589,19
C2CD4C,409170,405438,19
SHC2,460996,416583,19
RNA5SP462,453245,453134,19
ODF3L2,474983,463346,19
MADCAM1,505342,489176,19
AC005775.1,507833,490046,19
TPGS1,519654,507497,19
CDC34,542092,531712,19
GZMM,549924,544034,19
AC009005.1,572228,567210,19
BSG,583493,571277,19
HCN2,617159,589893,19
AC005559.1,591300,590430,19
POLRMT,633604,617224,19
AC004449.1,637537,637105,19
FGF22,644371,639879,19
RNF126,663277,647526,19
AC004156.1,669500,663482,19
FSTL3,683399,676365,19
PRSS57,695498,685546,19
RPS2P52,691172,690353,19
PALM,748329,708939,19
MISP,764318,751126,19
AC006273.1,781862,781002,19
LINC01836,785080,782755,19
PTBP1,812327,797075,19
MIR4745,805001,804940,19
PLPPR3,821977,812488,19
MIR3187,813653,813584,19
AZU1,832018,825097,19
PRTN3,848175,840960,19
ELANE,856247,851014,19
CFD,863630,859643,19
MED16,893218,867630,19
RNU6-9,893590,893484,19
R3HDM4,913245,896503,19
KISS1R,921015,917287,19
ARID3A,975934,925781,19
AC005379.1,928817,928259,19
AC005391.1,958149,956485,19
WDR18,998438,984271,19
AC004528.1,1002757,999796,19
GRIN3B,1009732,1000419,19
TMEM259,1021179,1009648,19
AC004528.2,1010907,1010221,19
RNU6-2,1021628,1021522,19
CNN2,1039068,1026581,19
AC011558.1,1039064,1038727,19
ABCA7,1065572,1040101,19
ARHGAP45,1086628,1065923,19
POLR2E,1095380,1086579,19
GPX4,1106791,1103926,19
SBNO2,1174283,1107636,19
STK11,1228435,1177558,19
HMGB2P1,1203842,1203209,19
CBARP,1238027,1228287,19
AC004221.1,1239522,1238179,19
ATP5F1D,1244826,1241746,19
MIDN,1259140,1248553,19
CIRBP,1274880,1259384,19
CIRBP-AS1,1270241,1267814,19
C19orf24,1279249,1275438,19
EFNA2,1300237,1286154,19
RPS15P9,1307719,1307401,19
AC005330.1,1322846,1321225,19
MUM1,1378431,1354711,19
AC004623.1,1374364,1372238,19
AC005329.2,1377520,1376773,19
NDUFS7,1395589,1383527,19
AC005329.3,1389651,1386804,19
AC005329.1,1396467,1392170,19
GAMT,1401570,1397026,19
DAZAP1,1435687,1407569,19
RPS15,1440494,1438358,19
AC027307.3,1441938,1440839,19
APC2,1473244,1446302,19
AC027307.2,1458580,1457670,19
C19orf25,1479556,1461143,19
PCSK4,1490752,1481428,19
REEP6,1497927,1490747,19
ADAMTSL5,1513604,1505018,19
AC027307.1,1508963,1508375,19
PLK5,1536046,1524074,19
MEX3D,1568058,1554669,19
RN7SL477P,1570860,1570575,19
MBD3,1592801,1573596,19
AC005943.2,1577086,1576939,19
AC005943.1,1605445,1578339,19
UQCR11,1605490,1597172,19
TCF3,1652605,1609290,19
RNU6-1223P,1616595,1616492,19
RF00017,1724395,1724115,19
AC005256.1,1748745,1748056,19
ONECUT3,1780988,1752373,19
ATP8B3,1812276,1782075,19
REXO1,1848463,1815246,19
AC012615.2,1815873,1815249,19
MIR1909,1816238,1816159,19
AC012615.6,1824542,1822089,19
AC012615.3,1853622,1852382,19
KLF16,1863568,1852399,19
AC012615.4,1862019,1860250,19
AC012615.1,1876169,1874871,19
AC012615.5,1875992,1875016,19
ABHD17A,1885547,1876810,19
SCAMP4,1926013,1905214,19
ADAT3,1913447,1905378,19
CSNK1G2,1981338,1941149,19
CSNK1G2-AS1,1954586,1952531,19
BTBD2,2034881,1985438,19
AC005306.1,1990370,1989401,19
AC004678.2,2003581,2002580,19
AC004678.1,2014656,2013728,19
AC007136.1,2031051,2030853,19
MKNK2,2051244,2037465,19
MOB3A,2096673,2071038,19
IZUMO4,2099593,2096429,19
AP3D1,2164468,2100988,19
DOT1L,2232578,2164149,19
AC004490.1,2215565,2212029,19
PLEKHJ1,2237704,2230084,19
MIR1227,2234149,2234062,19
MIR6789,2235926,2235829,19
SF3A2,2248679,2236504,19
AMH,2252073,2249309,19
MIR4321,2250718,2250639,19
JSRP1,2269759,2252252,19
OAZ1,2273490,2269509,19
AC005258.1,2341172,2269525,19
PEAK3,2282176,2274622,19
LINGO3,2292024,2289784,19
LSM7,2328620,2321517,19
SPPL2B,2354806,2328615,19
TMPRSS9,2426239,2360238,19
TIMM13,2427894,2425624,19
LMNB2,2456996,2427638,19
MIR7108,2435000,2434914,19
LINC01775,2462185,2458935,19
GADD45B,2478259,2476122,19
RNU6-993P,2503141,2503047,19
GNG7,2702709,2511219,19
ELOCP28,2538754,2538112,19
RN7SL121P,2595291,2595019,19
AC092068.2,2611862,2610155,19
MIR7850,2630793,2630715,19
AC092068.1,2632849,2631954,19
AC092068.3,2643853,2641838,19
AC006538.3,2701266,2700689,19
DIRAS1,2721418,2714567,19
AC006538.2,2740048,2717769,19
AC006538.1,2729327,2727743,19
SLC39A3,2740152,2732204,19
SGTA,2783371,2754714,19
THOP1,2815807,2785460,19
ZNF554,2835773,2819874,19
ZNF555,2860484,2841435,19
AC006130.1,2858716,2847227,19
ZNF556,2883445,2867335,19
AC006130.2,2875592,2874950,19
AC119403.2,2897222,2896625,19
ZNF57,2918476,2900898,19
AC119403.1,2926807,2915146,19
ZNF77,2944971,2933218,19
AC006277.1,2950644,2949035,19
TLE6,2995184,2977446,19
TLE2,3047635,2997638,19
AC005944.1,3053724,3052910,19
AES,3063107,3052910,19
GNA11,3124004,3094410,19
AC005262.2,3119304,3118665,19
KF456478.1,3122128,3121116,19
AC005262.1,3131398,3130717,19
GNA15,3163769,3136193,19
AC005264.1,3155175,3141576,19
S1PR4,3180332,3172346,19
NCLN,3209575,3185563,19
CELF5,3297076,3224703,19
AC010649.1,3303003,3296765,19
NFIC,3469217,3314403,19
AC007792.1,3355955,3355554,19
AC005514.1,3371602,3371395,19
SMIM24,3480542,3473986,19
AC005551.1,3483446,3482804,19
DOHH,3500940,3490822,19
FZR1,3538330,3506273,19
RF00212,3521320,3521248,19
MFSD12,3574290,3538261,19
C19orf71,3544030,3539154,19
AC005786.3,3557569,3544199,19
AC005786.2,3558486,3558015,19
AC005786.4,3567959,3567278,19
AC005786.1,3568273,3568120,19
HMG20B,3579088,3572777,19
GIPC3,3593541,3585553,19
TBXA2R,3606840,3594506,19
CACTIN-AS1,3613930,3607247,19
CACTIN,3626815,3610641,19
PIP5K1C,3700479,3630183,19
AC004637.1,3674295,3672582,19
TJP3,3750813,3708109,19
APBA3,3761699,3750819,19
AC005954.2,3756517,3753840,19
AC005954.1,3756659,3754620,19
MRPL54,3768575,3762664,19
RAX2,3772221,3769089,19
AC005777.1,3776182,3775996,19
MATK,3802129,3777970,19
ZFR2,3869032,3804024,19
FTLP5,3872107,3870991,19
ATCAY,3928079,3879864,19
RN7SL202P,3920506,3920245,19
NMRK2,3942416,3933103,19
DAPK3,3971123,3958453,19
MIR637,3961512,3961414,19
EEF2,3985469,3976056,19
SNORD37,3982572,3982507,19
PIAS4,4039386,4007646,19
ZBTB7A,4066945,4044364,19
AC016586.1,4062749,4061615,19
MAP2K2,4124129,4090321,19
RF00017,4127732,4127492,19
CREB3L3,4173054,4153601,19
SIRT6,4182604,4174109,19
ANKRD24,4224814,4183354,19
EBI3,4237531,4229498,19
AC005578.1,4247358,4246339,19
YJU2,4269090,4247079,19
SHD,4290724,4278601,19
TMIGD2,4302431,4292232,19
FSD1,4323843,4304600,19
STAP2,4342786,4324043,19
AC104521.1,4343491,4339577,19
MPND,4360086,4343527,19
AC007292.3,4354057,4347244,19
EIF1P6,4349061,4347780,19
AC007292.2,4358448,4356637,19
SH3GL1,4400547,4360370,19
AC007292.1,4364640,4363789,19
CHAF1A,4445018,4402662,19
AC011498.3,4430934,4429689,19
UBXN6,4457822,4444999,19
MIR4746,4446048,4445978,19
AC011498.2,4448217,4447304,19
AC011498.7,4450836,4448810,19
AC011498.6,4455286,4454014,19
AC011498.1,4471493,4457962,19
HDGFL2,4502211,4472287,19
PLIN4,4518465,4502180,19
PLIN5,4535224,4522531,19
AC011498.4,4540067,4528427,19
LRG1,4540474,4536409,19
SEMA6B,4559808,4542593,19
AC011498.5,4622307,4621194,19
TNFAIP8L1,4655568,4639518,19
MYDGF,4670370,4641374,19
AC005339.1,4655524,4654964,19
DPP9,4724673,4675224,19
DPP9-AS1,4685948,4679282,19
MIR7-3HG,4772533,4769140,19
MIR7-3,4770779,4770670,19
AC005523.1,4791207,4785120,19
FEM1A,4801273,4791681,19
AC005523.2,4795559,4791745,19
TICAM1,4831704,4815932,19
AC027319.1,4838907,4838332,19
PLIN3,4867768,4838341,19
ARRDC5,4902867,4890437,19
UHRF1,4962154,4903080,19
MIR4747,4932740,4932687,19
KDM4B,5153595,4969113,19
PTPRS,5340803,5158495,19
AC022517.1,5178464,5178119,19
RPL32P34,5278133,5277734,19
AC005790.1,5294696,5294247,19
ZNRF4,5456856,5455431,19
TINCR,5578349,5558167,19
SNRPEP4,5576938,5576660,19
SAFB2,5624046,5586999,19
SAFB,5668478,5623035,19
RPL36,5691876,5674947,19
C19orf70,5680896,5678421,19
HSD11B1L,5688523,5680604,19
LONP1,5720572,5691834,19
CATSPERD,5778734,5720677,19
PRR22,5784765,5782960,19
AC011499.1,5785619,5784005,19
DUS3L,5791238,5784832,19
NRTN,5828324,5823802,19
FUT6,5839731,5830610,19
FUT3,5851474,5842888,19
AC024592.2,5858239,5847467,19
FUT5,5870540,5865826,19
AC024592.3,5903787,5866171,19
NDUFA11,5904006,5891276,19
AC024592.1,5901511,5899895,19
AC104532.1,5914707,5904841,19
VMAC,5910853,5904858,19
AC104532.2,5913899,5911578,19
CAPS,5915877,5911707,19
RANBP3,5978142,5916139,19
AC011444.1,6020363,5978403,19
RFX2,6199572,5993164,19
AC011444.2,6077119,6067953,19
AC011444.4,6073527,6072823,19
AC011444.3,6125797,6109322,19
ACSBG2,6193094,6135247,19
AC011471.1,6176442,6176256,19
AC011471.4,6205121,6199405,19
MLLT1,6279948,6210379,19
AC011471.2,6259799,6259157,19
AC011471.3,6263469,6263068,19
ACER1,6333629,6306142,19
AC011491.3,6362149,6343761,19
CLPP,6368910,6361452,19
ALKBH7,6375251,6372433,19
PSPN,6379058,6375148,19
GTF2F1,6393981,6379569,19
AC011491.2,6390400,6386762,19
MIR6885,6389703,6389638,19
MIR6790,6392983,6392921,19
AC011491.1,6412404,6393794,19
KHSRP,6424794,6413348,19
MIR3940,6416511,6416410,19
SLC25A41,6433779,6426037,19
SLC25A23,6465203,6436079,19
CRB3,6467221,6463777,19
DENND1C,6482557,6467207,19
AC010503.4,6470152,6469465,19
TUBB4A,6502848,6494319,19
AC010503.2,6494805,6494320,19
AC010503.1,6495025,6494320,19
TNFSF9,6535928,6530999,19
AC010503.3,6554494,6552358,19
CLIC4P2,6563848,6562123,19
RF00019,6573057,6572956,19
CD70,6604103,6583183,19
RPL7P50,6594055,6593329,19
TNFSF14,6670588,6661253,19
C3,6730562,6677704,19
AC008760.2,6717742,6716386,19
GPR108,6737603,6729914,19
MIR6791,6736778,6736712,19
TRIP10,6751526,6737925,19
AC008760.1,6751467,6748293,19
SH2D3A,6767588,6752160,19
VAV1,6857366,6772714,19
ADGRE1,6940459,6887566,19
AC020895.2,6896832,6894994,19
AC020895.1,6898686,6898299,19
RF00017,6928629,6928345,19
ADGRE4P,6997872,6952500,19
AC025278.1,6954904,6953211,19
FLJ25758,7006074,7005012,19
AC025278.2,7012679,7011884,19
MBD3L2B,7021450,7018969,19
MBD3L5,7033011,7030578,19
MBD3L4,7040179,7037748,19
MBD3L2,7051735,7049321,19
